iter	Passed	Remaining
819	2550	559
820	2552	556
821	2555	553
822	2557	550
823	2559	546
824	2561	543
825	2563	540
826	2566	536
827	2568	533
828	2571	530
829	2573	527
830	2576	523
831	2578	520
832	2580	517
833	2583	514
834	2585	510
835	2587	507
836	2589	504
837	2592	501
838	2594	497
839	2597	494
840	2599	491
841	2602	488
842	2604	485
843	2606	481
844	2609	478
845	2611	475
846	2614	472
847	2616	468
848	2618	465
849	2621	462
850	2624	459
851	2626	456
852	2629	453
853	2631	449
854	2634	446
855	2636	443
856	2638	440
857	2641	437
858	2644	434
859	2646	430
860	2649	427
861	2651	424
862	2653	421
863	2656	418
864	2659	415
865	2661	411
866	2663	408
867	2666	405
868	2669	402
869	2671	399
870	2674	396
871	2676	392
872	2679	389
873	2681	386
874	2684	383
875	2686	380
876	2689	377
877	2691	374
878	2694	370
879	2696	367
880	2698	364
881	2701	361
882	2704	358
883	2707	355
884	2709	352
885	2711	348
886	2713	345
887	2716	342
888	2719	339
889	2721	336
890	2723	333
891	2725	330
892	2728	326
893	2730	323
894	2733	320
895	2735	317
896	2737	314
897	2739	311
898	2742	308
899	2744	304
900	2747	301
901	2749	298
902	2751	295
903	2753	292
904	2756	289
905	2758	286
906	2761	283
907	2763	279
908	2765	276
909	2767	273
910	2769	270
911	2772	267
912	2774	264
913	2777	261
914	2779	258
915	2781	255
916	2783	251
917	2785	248
918	2788	245
919	2791	242
920	2793	239
921	2795	236
922	2797	233
923	2799	230
924	2802	227
925	2805	224
926	2807	221
927	2810	218
928	2812	214
929	2814	211
930	2817	208
931	2819	205
932	2821	202
933	2824	199
934	2826	196
935	2828	193
936	2830	190
937	2833	187
938	2835	184
939	2838	181
940	2840	178
941	2842	175
942	2844	171
943	2846	168
944	2849	165
945	2851	162
946	2853	159
947	2856	156
948	2858	153
949	2860	150
950	2862	147
951	2865	144
952	2867	141
953	2869	138
954	2872	135
955	2874	132
956	2877	129
957	2880	126
958	2882	123
959	2884	120
960	2886	117
961	2889	114
962	2891	111
963	2894	108
964	2897	105
965	2899	102
966	2902	99
967	2904	96
968	2907	93
969	2910	90
970	2912	86
971	2914	83
972	2916	80
973	2919	77
974	2921	74
975	2924	71
976	2926	68
977	2928	65
978	2931	62
979	2933	59
980	2935	56
981	2938	53
982	2940	50
983	2943	47
984	2945	44
985	2947	41
986	2950	38
987	2953	35
988	2955	32
989	2958	29
990	2961	26
991	2963	23
992	2966	20
993	2969	17
994	2972	14
995	2974	11
996	2977	8
997	2980	5
998	2983	2
999	2986	0
